career,domain,skills,roadmap
Machine Learning Engineer,Artificial Intelligence,"Python,NumPy,Pandas,Scikit-learn,TensorFlow,PyTorch,SQL,Statistics,Linear Algebra,Feature Engineering,Model Deployment,MLflow","Python → NumPy & Pandas → Statistics & Probability → Linear Algebra → Scikit-learn (Classical ML) → TensorFlow or PyTorch → Feature Engineering → Model Evaluation & Tuning → MLflow / Experiment Tracking → FastAPI → Docker → Deploy on AWS/GCP → Build 2 end-to-end ML Projects"
AI Engineer,Artificial Intelligence,"Python,PyTorch,TensorFlow,LLM APIs,LangChain,Vector Databases,REST APIs,Docker,Cloud,Prompt Engineering,Model Fine-tuning","Python → Deep Learning (PyTorch) → LLM APIs & Prompt Engineering → LangChain → Vector Databases (Pinecone/Weaviate) → Fine-tuning Open-Source LLMs → Build AI Agent → FastAPI → Docker → Deploy on Cloud → AI Product Portfolio"
NLP Engineer,Artificial Intelligence,"Python,PyTorch,HuggingFace Transformers,BERT,GPT,Tokenization,Text Classification,Named Entity Recognition,Summarization,SQL","Python → NLP Basics (NLTK/spaCy) → Text Preprocessing → Classical NLP → Deep Learning → HuggingFace Transformers → BERT Fine-tuning → NER & Summarization Projects → REST API → Deploy NLP Model"
Computer Vision Engineer,Artificial Intelligence,"Python,OpenCV,PyTorch,CNNs,Object Detection (YOLO),Image Segmentation,Data Augmentation,Linear Algebra","Python → Linear Algebra → OpenCV Basics → CNNs with PyTorch → Object Detection (YOLO) → Image Segmentation → Data Augmentation → Build Real-time Detection App → Deploy on Edge Device"
AI Research Scientist,Artificial Intelligence,"Python,PyTorch,Mathematics,Statistics,Linear Algebra,Calculus,Research Methods,LaTeX,Paper Writing,Experiment Design","Math (Calculus + Linear Algebra + Probability) → Python + PyTorch → Classical ML → Deep Learning → Read 50+ Papers → Reproduce a Paper → Design Novel Experiment → Submit to Conference (NeurIPS/ICML/ICLR)"
Reinforcement Learning Engineer,Artificial Intelligence,"Python,PyTorch,OpenAI Gym,Q-Learning,Policy Gradient,Calculus,Statistics,Mathematics","Python → Linear Algebra & Calculus → Classical ML → Deep Learning → RL Basics (Q-Learning) → Policy Gradient Methods → OpenAI Gym Environments → Stable Baselines3 → Build RL Agent for Game or Robot"
Data Scientist,Data Science,"Python,SQL,Pandas,NumPy,Scikit-learn,Statistics,Data Visualization,Tableau,A/B Testing,Machine Learning","Python → SQL (joins, window functions) → Pandas & NumPy → Statistics & Probability → Data Visualization → Machine Learning (Scikit-learn) → A/B Testing → Tableau or PowerBI → End-to-end Analysis Project → Storytelling with Data"
Data Analyst,Data Science,"SQL,Excel,Python,Pandas,PowerBI,Tableau,Statistics,Data Cleaning,Dashboard Design","Excel → SQL (joins, aggregations, CTEs) → Python (Pandas) → Data Cleaning & EDA → Statistics Basics → Tableau or PowerBI → Dashboard Design → Business KPI Analysis → Present Insights to Stakeholders"
Data Engineer,Data Science,"Python,SQL,PostgreSQL,Apache Spark,Kafka,Airflow,ETL Pipelines,AWS S3,dbt,Docker","SQL (advanced) → Python → PostgreSQL → ETL Concepts → Apache Spark → Airflow (workflow orchestration) → Kafka (streaming) → Cloud Data Warehouse (Redshift/BigQuery) → dbt → Build Production Data Pipeline"
Business Intelligence Analyst,Data Science,"SQL,PowerBI,Tableau,Excel,Data Modeling,DAX,Star Schema,Stakeholder Communication","Excel → SQL (advanced aggregations) → Data Modeling (Star/Snowflake schema) → PowerBI (DAX & visuals) → Tableau → Dashboard Design → KPI Reporting → Present to Business Stakeholders"
Quantitative Analyst,Data Science,"Python,Statistics,Probability,Linear Algebra,Calculus,Financial Mathematics,Time Series,Risk Modeling,R","Statistics & Probability → Linear Algebra & Calculus → Python → R → Financial Mathematics → Time Series Analysis → Risk Models → Algorithmic Trading Backtesting → Quant Finance Project"
Analytics Engineer,Data Science,"SQL,dbt,Python,Data Modeling,Airflow,Snowflake,Git","SQL (advanced) → Python → dbt (data transformation) → Data Modeling → Snowflake or BigQuery → Airflow → Git → Build Analytics Layer for Business Team"
Frontend Developer,Web Development,"HTML,CSS,JavaScript,TypeScript,React,Redux,REST APIs,Git,Responsive Design,Jest","HTML & CSS → JavaScript (ES6+) → TypeScript → React → State Management (Redux/Zustand) → REST API Integration → Responsive Design → Testing (Jest) → Git → Build 3 Frontend Projects → Deploy on Vercel"
Full Stack Developer,Web Development,"HTML,CSS,JavaScript,TypeScript,React,Node.js,Express,SQL,PostgreSQL,REST APIs,Docker,Git","HTML/CSS → JavaScript → React → Node.js & Express → PostgreSQL (SQL) → REST API Design → Authentication (JWT/OAuth) → Docker → Git → Full Stack CRUD App → Deploy on Railway or AWS"
Backend Developer,Software Engineering,"Python,SQL,PostgreSQL,MongoDB,REST APIs,System Design,Docker,Redis,Message Queues,Git","Pick Language (Python/Java/Node.js) → SQL & PostgreSQL → REST API Design → Authentication → Redis (Caching) → Message Queues → System Design Basics → Docker → Build Scalable Backend Service"
Software Development Engineer,Software Engineering,"Data Structures,Algorithms,Python,OOP,System Design,SQL,Git,Problem Solving,LeetCode","DSA (Arrays → Trees → Graphs → DP) → OOP Principles → Python or Java → SQL → System Design Basics → LeetCode 200+ Problems → Mock Interviews → Build Projects → Internship → SDE Role"
API Developer,Software Engineering,"REST API Design,GraphQL,Node.js,OpenAPI,Authentication,Rate Limiting,SQL,Postman,Docker","HTTP & REST Fundamentals → Node.js or Python → API Design Best Practices → GraphQL → Authentication (OAuth 2.0, JWT) → Rate Limiting & Security → OpenAPI Docs → Docker → Test with Postman → Deploy API"
Game Developer,Software Engineering,"C++,Unity,Unreal Engine,Game Physics,Linear Algebra,3D Math,Shaders,C#","C++ Fundamentals → Linear Algebra & 3D Math → Unity (C#) or Unreal (C++) → Game Physics → Shaders → Game Design Patterns → Build 2D Game → Build 3D Game → Publish on Steam/Itch.io"
Embedded Systems Engineer,Software Engineering,"C,C++,Microcontrollers,RTOS,Digital Electronics,Serial Protocols,Debugging,Assembly","C/C++ → Digital Electronics → Microcontrollers (Arduino) → STM32 / ESP32 → RTOS → Serial Protocols → Hardware Debugging → Build IoT Sensor Project → PCB Design Basics"
Database Administrator,Software Engineering,"SQL,PostgreSQL,MySQL,Query Optimisation,Indexing,Backup & Recovery,Performance Tuning,Replication,Security","SQL Fundamentals → Advanced SQL (Window Functions, CTEs) → PostgreSQL Administration → Query Optimisation & Indexing → Backup & Recovery → Replication → Performance Tuning → Security & Access Control → DBA Certification"
Database Developer,Software Engineering,"SQL,Stored Procedures,PostgreSQL,MongoDB,Redis,Data Modelling,Normalization,Triggers,ORM","SQL → Advanced SQL → Stored Procedures & Triggers → Data Modelling & Normalization → PostgreSQL Advanced → MongoDB (NoSQL) → Redis (Caching) → ORM → Build Database-Backed Application"
Blockchain Developer,Software Engineering,"Solidity,Ethereum,Hardhat,Web3.js,Smart Contracts,Cryptography,JavaScript,Security","JavaScript → Cryptography Basics → Ethereum & Solidity → Hardhat → Smart Contract Testing → Web3.js → DeFi / NFT Project → Audit Smart Contract Security"
Android Developer,Mobile Development,"Kotlin,Java,Android SDK,Jetpack Compose,MVVM,REST APIs,Room Database,Firebase,Git","Java Basics → Kotlin → Android SDK → Jetpack Compose (UI) → MVVM Architecture → REST API Integration → Room Database → Firebase → Publish App on Play Store"
iOS Developer,Mobile Development,"Swift,Xcode,SwiftUI,UIKit,REST APIs,Core Data,MVVM,App Store Deployment,Git","Swift Fundamentals → Xcode → UIKit → SwiftUI → REST API Integration → Core Data → MVVM → App Store Deployment → Build 2 iOS Apps"
Flutter Developer,Mobile Development,"Dart,Flutter,REST APIs,Bloc,Firebase,SQLite,Git","Dart Basics → Flutter Widgets → State Management (Provider → Bloc) → REST API → Firebase → SQLite → Cross-platform App → Publish on Play Store & App Store"
React Native Developer,Mobile Development,"JavaScript,TypeScript,React Native,Expo,REST APIs,Redux,Firebase,Navigation","JavaScript → React → React Native → Expo → Navigation → REST API → Redux → Firebase → Cross-platform App"
DevOps Engineer,Cloud & DevOps,"Linux,Bash Scripting,Docker,Kubernetes,CI/CD,Terraform,AWS,Monitoring,Git","Linux CLI → Bash Scripting → Git → Docker → Kubernetes → CI/CD (GitHub Actions) → Terraform → AWS/GCP → Monitoring (Prometheus + Grafana) → Incident Response"
Cloud Engineer,Cloud & DevOps,"AWS,Networking,Security,Terraform,Kubernetes,Docker,Cost Optimisation,IAM,Serverless","Cloud Fundamentals → AWS Core Services (EC2/S3/VPC/RDS) → Networking & Security → IAM → Serverless (Lambda) → Terraform → Kubernetes on EKS → Cost Optimisation → Cloud Architecture Project"
Site Reliability Engineer,Cloud & DevOps,"Linux,Python,Monitoring,Incident Management,SLO,Docker,Kubernetes,Automation,Bash","Linux Advanced → Python Scripting → Monitoring & Alerting (Prometheus/Grafana) → SLO/SLI/SLA → Incident Management → Docker → Kubernetes → Chaos Engineering → Automation → On-call Practices"
Platform Engineer,Cloud & DevOps,"Kubernetes,Terraform,Docker,CI/CD,Python,Observability,Helm","Kubernetes Advanced → Helm → Terraform → CI/CD Pipelines → Internal Developer Platform Concepts → Observability Stack → Platform Engineering Patterns → Build Internal Platform"
MLOps Engineer,Cloud & DevOps,"Python,Docker,Kubernetes,MLflow,Kubeflow,CI/CD,AWS,DVC","Python → ML Basics → Docker → MLflow (Experiment Tracking) → DVC → CI/CD for ML → Kubeflow → Feature Store → Model Monitoring → Build ML Platform"
Cybersecurity Analyst,Cybersecurity,"Networking,SIEM Tools,Threat Detection,Log Analysis,Incident Response,OWASP,Security Frameworks,CompTIA Security+","Networking Fundamentals → Linux → Security+ Certification → SIEM Tools (Splunk) → Threat Detection & Log Analysis → Incident Response → OWASP Top 10 → SOC Analyst Role"
Ethical Hacker,Cybersecurity,"Networking,Kali Linux,Metasploit,Burp Suite,Vulnerability Assessment,OWASP,Python Scripting,CEH","Networking → Linux (Kali) → Metasploit → Burp Suite → OWASP Top 10 → TryHackMe Labs → Hack The Box → Bug Bounty → CEH or OSCP Certification"
Security Engineer,Cybersecurity,"Security Architecture,Encryption,Cloud Security,IAM,Zero Trust,SAST/DAST,Python,Firewall Configuration","Security Fundamentals → Encryption & PKI → Cloud Security → IAM & Zero Trust → SAST/DAST Tools → Firewall Hardening → Secure SDLC → Security Engineering Role"
Malware Analyst,Cybersecurity,"Reverse Engineering,Assembly,IDA Pro,Windows Internals,Sandboxing,Python,YARA Rules","C & Assembly → Windows Internals → IDA Pro or Ghidra → Dynamic Analysis → YARA Rules → Malware Samples Analysis → Threat Intelligence Report Writing"
Cloud Security Engineer,Cybersecurity,"AWS Security,IAM,Terraform,Kubernetes Security,Encryption,Compliance,CSPM","Cloud Fundamentals → AWS Security Services → IAM Policies → Terraform Security → Kubernetes Security → CSPM Tools → Compliance Frameworks → Cloud Security Project"
UI Designer,Design,"Figma,Design Principles,Typography,Colour Theory,Wireframing,Component Libraries,Accessibility,Prototyping","Design Fundamentals (Typography + Colour + Layout) → Figma → Wireframing → UI Component Libraries → Accessibility (WCAG) → Interactive Prototyping → Portfolio (5 UI Case Studies) → Handoff to Developers"
UX Designer,Design,"User Research,Personas,Journey Mapping,Wireframing,Prototyping,Usability Testing,Figma,Information Architecture","UX Research Methods → Personas & Journey Maps → Information Architecture → Wireframing → Prototyping (Figma) → Usability Testing → Heuristic Evaluation → Portfolio (3 UX Case Studies)"
Product Designer,Design,"UI/UX,Design Systems,Figma,Product Thinking,User Research,A/B Testing,Prototyping,Stakeholder Communication","UX Fundamentals → UI Design → Figma Advanced → Design Systems → Product Thinking → User Research → A/B Testing → Work with PMs & Engineers → Product Design Portfolio"
Graphic Designer,Design,"Adobe Photoshop,Adobe Illustrator,Typography,Brand Identity,Layout Design,Colour Theory","Design Basics → Adobe Illustrator → Adobe Photoshop → Typography & Layout → Brand Identity Design → Portfolio (Logo + Branding + Print + Social Media Projects)"
Motion Designer,Design,"After Effects,Cinema 4D,Animation Principles,Storyboarding,Lottie,Motion Graphics","Animation Principles → After Effects → Motion Graphics → Cinema 4D Basics → Storyboarding → Lottie → Portfolio (3 Motion Projects)"
Product Manager,Product & Business,"Product Strategy,User Stories,Agile,Jira,SQL,Data Analysis,A/B Testing,Roadmapping,Stakeholder Management,Communication","Business & Tech Basics → Agile/Scrum → User Story Writing → SQL for Product Analytics → A/B Testing → Roadmapping → Stakeholder Management → Product Metrics (DAU/Retention/Churn) → PM Interview Prep"
Business Analyst,Product & Business,"SQL,Excel,Requirements Gathering,Process Mapping,Stakeholder Communication,Jira,Data Analysis,PowerBI,BPMN","Excel → SQL → Business Process Mapping (BPMN) → Requirements Gathering → Stakeholder Interviews → Jira → PowerBI Dashboard → BA Case Study Project"
Growth Manager,Product & Business,"Marketing Analytics,SQL,A/B Testing,SEO,Google Analytics,Funnel Analysis,Email Marketing,Python","Analytics Fundamentals → SQL → Google Analytics → A/B Testing → Funnel Analysis → SEO Basics → Email Marketing → Growth Experiments → Growth Strategy Case Study"
Marketing Manager,Product & Business,"SEO,Google Analytics,Content Marketing,Social Media,Email Marketing,Paid Ads,Branding,Copywriting","Marketing Fundamentals → SEO → Google Analytics → Content Strategy → Email Marketing → Paid Ads (Google + Meta) → Branding → Campaign Management → Marketing Portfolio"
Operations Manager,Product & Business,"Process Optimisation,Supply Chain,ERP Systems,Data Analysis,Leadership,Lean,Excel,Stakeholder Management","Business Fundamentals → Process Analysis → Lean / Six Sigma → ERP Systems → Supply Chain Basics → Data-Driven Decision Making → Leadership → Operations Management Case Study"
Mechanical Engineer,Engineering,"CAD,FEA,Thermodynamics,Fluid Mechanics,Manufacturing Processes,MATLAB","Engineering Maths → Thermodynamics → Fluid Mechanics → CAD (SolidWorks) → FEA (ANSYS) → Manufacturing Processes → Design & Simulate Mechanical Component"
Civil Engineer,Engineering,"AutoCAD,Structural Analysis,Concrete Design,Surveying,Project Management,Estimation","Engineering Maths → Structural Analysis → AutoCAD → Concrete & Steel Design → Surveying → Site Project or Internship"
Electrical Engineer,Engineering,"Circuit Design,MATLAB,Power Systems,PCB Design,Embedded C,Signal Processing","Circuit Theory → MATLAB → Power Systems → PCB Design → Embedded C → Signal Processing → Design and Test Circuit Project"
Robotics Engineer,Engineering,"Python,ROS,C++,Control Systems,Kinematics,Sensors,Computer Vision,Linear Algebra","Python & C++ → Linear Algebra → Control Systems → ROS → Kinematics → Sensor Integration → Computer Vision → Build Mobile Robot or Robotic Arm"
Aerospace Engineer,Engineering,"Aerodynamics,MATLAB,CFD,Structural Analysis,Thermodynamics,Python,Propulsion","Engineering Maths → Aerodynamics → Thermodynamics → Propulsion → MATLAB → CFD → Structural Analysis → Design & Simulate Aerofoil or Rocket Component"
Research Scientist,Research,"Python,PyTorch,Mathematics,Statistics,Linear Algebra,Calculus,Research Methods,LaTeX,Academic Writing,Experiment Design","Maths (Calculus + Linear Algebra + Probability) → Python → Classical ML → Deep Learning → Read 100+ Papers → Reproduce SOTA Model → Design Novel Method → Write Paper → Submit to Top Venue (NeurIPS/ICML/ACL/CVPR)"
Research Engineer,Research,"Python,C++,PyTorch,System Design,Mathematics,Benchmarking,Technical Writing","Python + C++ → Deep Learning Frameworks → Literature Review → Prototype Research Ideas → Benchmarking → Technical Report → Open Source Contribution → Research Lab Role"
Data Science Researcher,Research,"Python,R,Statistics,Econometrics,Experiment Design,Research Methods,LaTeX","Statistics & Econometrics → Python & R → Survey Design → Experiment Design → Causal Inference → Research Paper Writing → Peer Review → Academic Publication"
Professor,Research,"Research,Teaching,Publications,Grant Writing,PhD,LaTeX,Domain Expertise,Curriculum Design","Bachelor's → Master's → PhD → Postdoc → Publish 10+ Papers → Teach Courses → Apply for Faculty Position → Supervise Students → Write Research Grants"
Civil Services Officer,Government,"General Studies,Current Affairs,History,Geography,Economics,Essay Writing,Ethics,Public Administration","NCERT Fundamentals → Current Affairs (Daily Newspaper) → UPSC Syllabus Analysis → Optional Subject → Prelims Mock Tests → Mains Answer Writing → Personality Test Prep"
Defence Officer,Government,"Leadership,Physical Fitness,Strategy,National Security,General Knowledge,Teamwork","Physical Training → NDA/CDS Syllabus (Maths + English + GK) → Mock Tests → SSB Interview Preparation → Leadership & Communication → Military Academy"
Public Policy Analyst,Government,"Economics,Policy Analysis,Research Methods,Statistics,Data Analysis,Report Writing,Stakeholder Engagement,Excel","Economics Fundamentals → Public Policy Frameworks → Research Methods → Statistics & Data Analysis → Policy Case Studies → Report Writing → Internship at Think Tank → Policy Publication"
